118495,Franklin Templeton Asset Management (India) Private Limited,Franklin India Dynamic Accrual Fund (No. of segregated portfolios- 3),Direct,Growth,Open Ended,Debt Scheme,Dynamic Bond,118495,Dynamic Bond,INF090I01HB8
118530,Franklin Templeton Asset Management (India) Private Limited,Franklin India Low Duration Fund (No. of Segregated Portfolios-2),Direct,Growth,Open Ended,Debt Scheme,Low Duration Fund,118530,Low Duration Fund,INF090I01HG7
118531,Franklin Templeton Asset Management (India) Private Limited,Franklin India Bluechip Fund,Direct,Growth,Open Ended,Equity Scheme,Large Cap Fund,118531,Large Cap Fund,INF090I01FN7
118533,Franklin Templeton Asset Management (India) Private Limited,Franklin India Prima Fund,Direct,Growth,Open Ended,Equity Scheme,Mid Cap Fund,118533,Mid Cap Fund,INF090I01FH9
118535,Franklin Templeton Asset Management (India) Private Limited,Franklin India Equity Fund (erstwhile known as Franklin India Prima Plus),Direct,Growth,Open Ended,Equity Scheme,Multi Cap Fund,118535,Multi Cap Fund,INF090I01FK3
118537,Franklin Templeton Asset Management (India) Private Limited,Franklin India Technology Fund,Direct,Growth,Open Ended,Equity Scheme,Sectoral/ Thematic,118537,Sectoral/ Thematic,INF090I01FE6
118539,Franklin Templeton Asset Management (India) Private Limited,Franklin India Opportunities Fund,Direct,Growth,Open Ended,Equity Scheme,Sectoral/ Thematic,118539,Sectoral/ Thematic,INF090I01GC8
118540,Franklin Templeton Asset Management (India) Private Limited,Franklin India Taxshield,Direct,Growth,Open Ended,Equity Scheme,ELSS,118540,ELSS,INF090I01JS8
118569,Franklin Templeton Asset Management (India) Private Limited,Franklin India Corporate Debt Fund,Direct,Growth,Open Ended,Debt Scheme,Corporate Bond Fund,118569,Corporate Bond Fund,INF090I01FW8
118548,Franklin Templeton Asset Management (India) Private Limited,Franklin India Pension Plan,Direct,Growth,Open Ended,Solution Oriented Scheme,Retirement Fund,118548,Retirement Fund,INF090I01JZ3
118577,Franklin Templeton Asset Management (India) Private Limited,Franklin India Liquid Fund,Direct,Growth,Open Ended,Debt Scheme,Liquid Fund,118577,Liquid Fund,INF090I01JV2
118546,Franklin Templeton Asset Management (India) Private Limited,Franklin India Equity Hybrid Fund,Direct,Growth,Open Ended,Hybrid Scheme,Aggressive Hybrid Fund,118546,Aggressive Hybrid Fund,INF090I01FZ1
118285,Canara Robeco Asset Management Company Limited,Canara Robeco Equity Taxsaver Fund,Direct,Growth,Open Ended,Equity Scheme,ELSS,118285,ELSS,INF760K01EL8
118299,Canara Robeco Asset Management Company Limited,Canara Robeco Gilt Fund,Direct,Growth,Open Ended,Debt Scheme,Gilt Fund,118299,Gilt Fund,INF760K01FC4
118309,Canara Robeco Asset Management Company Limited,Canara Robeco Conservative Hybrid Fund,Direct,Growth,Open Ended,Hybrid Scheme,Conservative Hybrid Fund,118309,Conservative Hybrid Fund,INF760K01GB4
119675,Sundaram Asset Management Company Limited,Sundaram Medium Term Bond Fund,Direct,Growth,Open Ended,Debt Scheme,Medium Duration Fund,119675,Medium Duration Fund,INF903J01PO6
119549,Sundaram Asset Management Company Limited,Sundaram Diversified Equity,Direct,Growth,Open Ended,Equity Scheme,ELSS,119549,ELSS,INF903J01NN3
119542,Sundaram Asset Management Company Limited,Sundaram Equity Hybrid Fund,Direct,Growth,Open Ended,Hybrid Scheme,Balanced Hybrid Fund,119542,Balanced Hybrid Fund,INF903J01MP0
119686,Sundaram Asset Management Company Limited,Sundaram Money Fund,Direct,Growth,Open Ended,Debt Scheme,Liquid Fund,119686,Liquid Fund,INF903J01QF2
119714,SBI Funds Management Private Limited,SBI MAGNUM INCOME FUND,Direct,Growth,Open Ended,Debt Scheme,Medium to Long Duration Fund,119714,Medium to Long Duration Fund,INF200K01SR2
120578,SBI Funds Management Private Limited,SBI TECHNOLOGY OPPORTUNITIES FUND,Direct,Growth,Open Ended,Equity Scheme,Sectoral/ Thematic,120578,Sectoral/ Thematic,INF200K01RV6
120575,SBI Funds Management Private Limited,SBI CONSUMPTION OPPORTUNITIES FUND,Direct,Growth,Open Ended,Equity Scheme,Sectoral/ Thematic,120575,Sectoral/ Thematic,INF200K01RM5
120656,UTI Asset Management Company Ltd,UTI - Mastershare Unit Scheme,Direct,Growth,Open Ended,Equity Scheme,Large Cap Fund,120656,Large Cap Fund,INF789F01US8
120662,UTI Asset Management Company Ltd,UTI - Equity Fund.,Direct,Growth,Open Ended,Equity Scheme,Multi Cap Fund,120662,Multi Cap Fund,INF789F01TC4
120665,UTI Asset Management Company Ltd,UTI - Core Equity Fund,Direct,Growth,Open Ended,Equity Scheme,Large & Mid Cap Fund,120665,Large & Mid Cap Fund,INF789F01UG3
120674,UTI Asset Management Company Ltd,UTI - Hybrid Equity Fund,Direct,Growth,Open Ended,Hybrid Scheme,Aggressive Hybrid Fund,120674,Aggressive Hybrid Fund,INF789F01SK9
120299,UTI Asset Management Company Ltd,UTI - Money Market Fund,Direct,Growth,Open Ended,Debt Scheme,Money Market Fund,120299,Money Market Fund,INF789F01XV6
120682,UTI Asset Management Company Ltd,UTI - MNC Fund,Direct,Growth,Open Ended,Equity Scheme,Sectoral/ Thematic,120682,Sectoral/ Thematic,INF789F01UD0
120689,UTI Asset Management Company Ltd,UTI - Bond Fund,Direct,Growth,Open Ended,Debt Scheme,Medium to Long Duration Fund,120689,Medium to Long Duration Fund,INF789F01SQ6
120782,UTI Asset Management Company Ltd,UTI - Healthcare Fund,Direct,Growth,Open Ended,Equity Scheme,Sectoral/ Thematic,120782,Sectoral/ Thematic,INF789F01TO9
120785,UTI Asset Management Company Ltd,UTI - Overnight Fund,Direct,Growth,Open Ended,Debt Scheme,Overnight Fund,120785,Overnight Fund,INF789FB1S71
120715,UTI Asset Management Company Ltd,UTI - Long Term Equity Fund ( Tax Saving ),Direct,Growth,Open Ended,Equity Scheme,ELSS,120715,ELSS,INF789F01TF7
120716,UTI Asset Management Company Ltd,UTI - Nifty Index Fund,Direct,Growth,Open Ended,Other Scheme,Index Funds,120716,Index Funds,INF789F01XA0
119766,Kotak Mahindra Asset Management Company Limited,Kotak Liquid Fund,Direct,Growth,Open Ended,Debt Scheme,Liquid Fund,119766,Liquid Fund,INF174K01NE8
118701,Nippon Life India Asset Management Limited,Nippon India Liquid Fund,Direct,Growth,Open Ended,Debt Scheme,Liquid Fund,118701,Liquid Fund,INF204K01ZH0
118807,Nippon Life India Asset Management Limited,Nippon India Prime Debt Fund,Direct,Growth,Open Ended,Debt Scheme,Corporate Bond Fund,118807,Corporate Bond Fund,INF204K01D63
118814,Nippon Life India Asset Management Limited,Nippon India Prime Debt Fund,Direct,Growth,Open Ended,Debt Scheme,Corporate Bond Fund,118814,Corporate Bond Fund,INF204K01C15
120270,LIC Mutual Fund Asset Management Limited,LIC MF Tax Plan,Direct,Growth,Open Ended,Equity Scheme,ELSS,120270,ELSS,INF767K01EM1
119091,HDFC Asset Management Company Limited,HDFC Liquid Fund,Direct,Growth,Open Ended,Debt Scheme,Liquid Fund,119091,Liquid Fund,INF179KB1HP9
119468,Principal Asset Management Pvt. Ltd.,Principal Cash Management Fund,Direct,Growth,Open Ended,Debt Scheme,Liquid Fund,119468,Liquid Fund,INF173K01GU0
118574,Franklin Templeton Asset Management (India) Private Limited,Franklin India Debt Hybrid Fund (No. of segregated portfolios - 1),Direct,Growth,Open Ended,Hybrid Scheme,Conservative Hybrid Fund,118574,Conservative Hybrid Fund,INF090I01GF1
120668,ICICI Prudential Asset Management Company Limited,ICICI Prudential MIP,Direct,Growth,Open Ended,Undefined,Income,120668,Income,INF109K01U35
119461,Principal Asset Management Pvt. Ltd.,Principal Dynamic Bond Fund,Direct,Growth,Open Ended,Debt Scheme,Dynamic Bond,119461,Dynamic Bond,INF173K01GL9
119451,Principal Asset Management Pvt. Ltd.,Principal Multi Cap Growth Fund,Direct,Growth,Open Ended,Equity Scheme,Multi Cap Fund,119451,Multi Cap Fund,INF173K01FN7INF173K01FO5
119452,Principal Asset Management Pvt. Ltd.,Principal Multi Cap Growth Fund,Direct,Growth,Open Ended,Equity Scheme,Multi Cap Fund,119452,Multi Cap Fund,INF173K01FQ0
118929,HDFC Asset Management Company Limited,HDFC Long Term Advantage Plan,Direct,Growth,Open Ended,Equity Scheme,ELSS,118929,ELSS,INF179K01WX8
120291,Sahara Asset Management Company Private Limited,SaharaTax Gain,Direct,Growth,Open Ended,Undefined,ELSS,120291,ELSS,INF515L01809
120841,quant Money Managers Limited,Quant Mid Cap Fund,Direct,Growth,Open Ended,Equity Scheme,Mid Cap Fund,120841,Mid Cap Fund,INF966L01887
120819,quant Money Managers Limited,Quant Absolute Fund,Direct,Growth,Open Ended,Hybrid Scheme,Aggressive Hybrid Fund,120819,Aggressive Hybrid Fund,INF966L01556
120823,quant Money Managers Limited,Quant Active Fund,Direct,Growth,Open Ended,Equity Scheme,Multi Cap Fund,120823,Multi Cap Fund,INF966L01614
120821,quant Money Managers Limited,Quant Multi Asset Fund,Direct,Growth,Open Ended,Hybrid Scheme,Multi Asset Allocation,120821,Multi Asset Allocation,INF966L01580
118508,Franklin Templeton Asset Management (India) Private Limited,Franklin India Floating Rate Fund,Direct,Growth,Open Ended,Debt Scheme,Floater Fund,118508,Floater Fund,INF090I01LK1
119116,HDFC Asset Management Company Limited,HDFC Gilt Fund,Direct,Growth,Open Ended,Debt Scheme,Gilt Fund,119116,Gilt Fund,INF179K01VS0
120599,ICICI Prudential Asset Management Company Limited,ICICI Prudential Multicap Fund,Direct,Growth,Open Ended,Equity Scheme,Multi Cap Fund,120599,Multi Cap Fund,INF109K014O9
120285,LIC Mutual Fund Asset Management Limited,LIC MF Children's Gift Fund,Direct,Growth,Open Ended,Solution Oriented Scheme,Children s Fund,120285,Children s Fund,INF767K01FB1
119501,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Savings Fund,Direct,Growth,Open Ended,Debt Scheme,Ultra Short Duration Fund,119501,Ultra Short Duration Fund,INF209K01UR9
118506,Franklin Templeton Asset Management (India) Private Limited,Franklin India Savings Fund,Direct,Growth,Open Ended,Debt Scheme,Money Market Fund,118506,Money Market Fund,INF090I01GV8
118305,Canara Robeco Asset Management Company Limited,Canara Robeco Liquid Fund,Direct,Growth,Open Ended,Debt Scheme,Liquid Fund,118305,Liquid Fund,INF760K01FU6
139235,Canara Robeco Asset Management Company Limited,Canara Robeco Liquid Fund,Direct,Growth,Open Ended,Debt Scheme,Liquid Fund,139235,Liquid Fund,INF760K01IC8
118565,Franklin Templeton Asset Management (India) Private Limited,Franklin India Short-Term Income Plan (no. of segregated portfolios- 3),Direct,Growth,Open Ended,Debt Scheme,Short Duration Fund,118565,Short Duration Fund,INF090I01GK1
119719,SBI Funds Management Private Limited,SBI MAGNUM CHILDREN'S BENEFIT FUND,Direct,Growth,Open Ended,Solution Oriented Scheme,Children s Fund,119719,Children s Fund,INF200K01QR6
119415,Baroda Asset Management India Limited (formerly known as Baroda Pioneer Asset Management Co. Ltd.),BARODA LIQUID FUND,Direct,Growth,Open Ended,Debt Scheme,Liquid Fund,119415,Liquid Fund,INF955L01AL0
120211,ICICI Prudential Asset Management Company Limited,ICICI Prudential Money Market Fund,Direct,Growth,Open Ended,Debt Scheme,Money Market Fund,120211,Money Market Fund,INF109K01R14
120249,LIC Mutual Fund Asset Management Limited,LIC MF Liquid Fund,Direct,Growth,Open Ended,Debt Scheme,Liquid Fund,120249,Liquid Fund,INF767K01DN1
119341,Baroda Asset Management India Limited (formerly known as Baroda Pioneer Asset Management Co. Ltd.),BARODA GILT FUND,Direct,Growth,Open Ended,Debt Scheme,Gilt Fund,119341,Gilt Fund,INF955L01AD7
118870,Taurus Asset Management Company Limited,Taurus Largecap Equity Fund,Direct,Growth,Open Ended,Equity Scheme,Large Cap Fund,118870,Large Cap Fund,INF044D01BX3
120603,ICICI Prudential Asset Management Company Limited,ICICI Prudential All Seasons Bond Fund,Direct,Growth,Open Ended,Debt Scheme,Dynamic Bond,120603,Dynamic Bond,INF109K016E5
119462,Principal Asset Management Pvt. Ltd.,Principal Short Term Debt Fund,Direct,Growth,Open Ended,Debt Scheme,Short Duration Fund,119462,Short Duration Fund,INF173K01GP0
119739,Kotak Mahindra Asset Management Company Limited,Kotak Bond Short Term Fund,Direct,Growth,Open Ended,Debt Scheme,Short Duration Fund,119739,Short Duration Fund,INF174K01JI7
119472,Principal Asset Management Pvt. Ltd.,Principal Equity Savings Fund,Direct,Growth,Open Ended,Hybrid Scheme,Equity Savings,119472,Equity Savings,INF173K01GZ9
120471,JM Financial Asset Management Limited,JM Short Term Fund,Direct,Growth,Open Ended,Debt Scheme,Short Duration Fund,120471,Short Duration Fund,INF192K01EA7
119578,Sundaram Asset Management Company Limited,Sundaram Select Focus,Direct,Growth,Open Ended,Equity Scheme,Focussed Fund,119578,Focussed Fund,INF903J01MV8
119581,Sundaram Asset Management Company Limited,Sundaram Mid Cap Fund,Direct,Growth,Open Ended,Equity Scheme,Mid Cap Fund,119581,Mid Cap Fund,INF903J01MJ3
